PROPERTY_NUMBER_ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,LAYOUT,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,FOR_OFFICE_USE,INTERIOR_CUSTOMIZABILITY,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_SHOPPING_DISTRICT,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES
9000002,売買居住用,山梨県,甲府市,,,,1100000,1958/2/1,木造,84.29,,9SK,108.37,,,市街化区域,商業地域,,無し,無し,指定なし,甲府市中心部に近く利便性良好。売却希望価格は土地評価額を下回っています。,公営,都市ガス,下水,,専用,専用,,,,無,,,,,,,,,,,無し,無し
9000003,売買居住用,山梨県,甲府市,,,,19800000,1989/11/1,木造,151.12,,4SLDK,379.56,,,市街化区域,第二種中高層住居専用地域,,無し,無し,指定なし,住友林業施工！窓から富士山が見えます！サクラやつつじ、花水木のある庭も魅力です。,公営,プロパン,下水,,専用,専用,,,,近隣,,,,,,,,,,,無し,無し
9000008,売買居住用,山梨県,甲府市,,,,4300000,1989/6/1,木造,57.12,,2DK,123.54,,,市街化区域,第二種低層住居専用地域,,無し,無し,指定なし,閑静な住居区域で日当り良好です。保育園、小中学校も比較的近くにあります。,公営,プロパン,下水,,専用,専用,,,,近隣,,,,,,,,,,,無し,無し
9000009,売買居住用,山梨県,甲府市,,,,12000000,1971/8/1,木造,117.16,,8DK,194.73,,,市街化区域,第一種中高層住居専用地域,,無し,無し,指定なし,附属幼稚園、附属小、附属中、北新小、甲府一高、国立甲府病院まで至近距離です。,公営,プロパン,下水,,専用,専用,,,,近隣,,,,,,,,,,,無し,無し
9000011,売買居住用,山梨県,甲府市,,,,5800000,1977/3/1,木造,102.5,,3SLDK,350.2,,,市街化区域,第二種低層住居専用地域,,無し,無し,指定なし,地下倉庫付きの平屋住宅！羽黒小学校まで徒歩約11分♪高台のため眺望良し◎,公営,プロパン,下水,,専用,専用,,,,空き有,,,,,,,,,,,無し,無し
9000012,売買居住用,山梨県,甲府市,,,,14800000,1971/5/1,木造,130.3,,7DK,395.46,,,市街化調整区域,,,無し,無し,指定なし,家庭菜園付き　駐車場4台,公営,プロパン,下水,,専用,専用,,,,近隣,,,,,,,,,,,無し,無し
9000013,売買居住用,山梨県,甲府市,,,,15000000,1978/8/1,鉄骨造,164.97,,4DK,71.91,,,市街化区域,商業地域,,無し,無し,指定なし,店舗付き住宅！店舗使用しない場合はガレージへリフォームも可能です！,公営,都市ガス,下水,,専用,専用,,,,無,,,,,,,,,,,無し,有り
9000014,売買土地,山梨県,甲府市,,,,14300000,,指定なし,,,R,428.92,,,市街化区域,,,無し,無し,指定なし,120坪以上の広々した土地なので家庭菜園等も楽しめます♪,,,,,,,,,,,,,,,,,,,,,無し,無し
9000015,売買居住用,山梨県,甲府市,,,,23500000,2007/10/1,木造,80.32,,3DK,465.22,,,市街化区域,,,無し,無し,指定なし,,公営,都市ガス,下水,,専用,専用,,,,近隣,,,,,,,,,,,無し,無し
9000017,売買土地,山梨県,甲府市,,,,14000000,,指定なし,,,R,365.79,,,市街化区域,第一種中高層住居専用地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
