CONTRACT_INFO_DATE,CONTRACT_INFO_AMOUNT/RENT,ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,CONSTRUCTION,NUMBER_OF_ROOMS,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,BATH_NOTE,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,BICYCLE_PARKING,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_COMBINIENCE_STORE,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,DISTANCE_TO_PLAYGROUND,DISTANCE_TO_BANK,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES,LOCAL_GOVERNMENT_PREFECTURE,LOCAL_GOVERNMENT_CITY
,,9000023,売買居住用,三重県,伊勢市,,,,300000,1955/1/1,140.27,,木造,,198.11,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000056,売買居住用,三重県,伊勢市,,,,1500000,1969/1/1,181.88,,木造,,238.01,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000057,賃貸居住用,三重県,伊勢市,,,,50000,1969/1/1,181.88,,木造,,,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000070,売買居住用,秋田県,大館市,JR奥羽本線,大館,4分,2000000,1971/8/1,168.21,1,木造,5,1154.2,,宅地,非線引区域,第一種住居地域,所有権,無,有,,,公営,プロパン,下水,,,,,,,,,,950,1400,290,1800,,1500,,,200,60,無,無,秋田県,大館市
,,9000099,売買居住用,富山県,高岡市,あいの風とやま鉄道,福岡,750m,2900000,1951/1/1,165.29,,木造,6,737.18,公簿,宅地,,,所有権,無,無,1,,,,,,,,,,,,空き有,,2100,1400,,,,,,,200,60,無,無,富山県,高岡市
,,9000120,売買居住用,三重県,伊勢市,,,,3500000,1962/1/1,109.09,,その他,,132.9,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000124,売買居住用,秋田県,大館市,JR奥羽本線,大館,34分,9800000,2002/6/1,160.43,1,木造,5,966.41,公簿,宅地,非線引区域,,所有権,無,無,1,"建物と別に物置あり
敷地内10台程度駐車可
無落雪屋根・融雪設備付き",公営,プロパン,浄化槽,,,,,,,,,,2400,5000,1600,1800,1700,4800,,,200,70,無,無,秋田県,大館市
,,9000133,売買居住用,岩手県,花巻市,,,,7000000,1997/11/1,124.31,,木造,3,410.7,,,,,,無,無,,,公営,プロパン,下水,,,,,,,,,,2100,1700,1000,2100,,3500,,,,,無,無,岩手県,花巻市
,,9000140,売買土地,大分県,大分市,,,4分,1000000,,,,指定なし,,29.09,公簿,宅地,非線引区域,,所有権,無,無,1,,,,,,,,,,,,,,,,,,,,,,400,70,無,無,大分県,大分市
,,9000152,売買居住用,岡山県,笠岡市,JR山陽本線,笠岡,,9200000,,125.39,,木造,5,332,,,,,,無,無,,"【VR内覧】https://spacely.co.jp/kasaoka/uKY1hMZvDL
公園が近いです。
日当たりが良いです。
利便性が良いです。",公営,プロパン,下水,,専用,,専用,洋式・水洗,,有り,空き有,,2500,3900,,2000,,400,,,,,無,無,岡山県,笠岡市
,,9000195,売買居住用,富山県,高岡市,万葉線,旭ヶ丘,19分,25700000,2004/6/1,193.76,,木造,5,191.52,公簿,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,1,"・５LDK＋DK＋屋根裏収納
・２つの玄関でお互いのプライバシーを尊重できる２世帯同居可能物件です
・R6年９月リフォーム工事完成",,,,,,,,,,,空き有,,1900,3500,540,190,380,2000,,,200,60,無,無,富山県,高岡市
,,9000198,賃貸居住用,岐阜県,飛騨市,JR高山本線,飛騨古川,700m,60000,1979/1/1,74.24,,木造,4,,,,,,,無,無,,"古川町中心市街地。
古川駅も近く、通勤・通学にとても便利。",公営,プロパン,,,,灯油,,水洗（洋式）,,,無,,400,2000,2000,2000,,100,,700,,,無,無,岐阜県,飛騨市
,,9000212,売買居住用,秋田県,秋田市,JR奥羽本線,秋田,500m,6000000,1984/1/1,94.21,,木造,3,120.58,公簿,宅地,市街化区域,第二種中高層住居専用地域,所有権,無,無,,秋田北高校、秋田東中学校に近い文教地区で、充実した子育て環境となっています。,公営,都市ガス,下水,,専用,,専用,,ガス,有り,空き有,,1000,400,1400,600,1000,2800,1700,400,200,60,無,無,秋田県,秋田市
,,9000219,売買居住用,大分県,大分市,JR豊肥本線,竹中,1分,6800000,1986/2/1,86.94,,木造,4,236.26,公簿,宅地,市街化調整区域,,所有権,無,無,,,公営,プロパン,,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9000220,売買居住用,大分県,大分市,JR豊肥本線,滝尾,11分,34500000,2020/8/1,102.54,,木造,4,200,公簿,宅地,市街化調整区域,,所有権,無,無,1,,公営,,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
02/25/25,2000000,9000237,売買居住用,新潟県,新発田市,JR白新線,西新発田,2600m,2500000,,150.1,,木造,7,642.7,公簿,宅地,市街化調整区域,,,無,無,1,,公営,プロパン,汲み取り式,室内,専用,,専用,,ガス,有り,空き有,有り,1500,750,2000,2500,2500,,,3200,,,有,無,新潟県,新発田市
02/25/25,2000000,9000238,売買居住用,新潟県,新発田市,JR白新線,西新発田,2600m,2500000,,150.1,,木造,7,642.7,公簿,宅地,市街化調整区域,,,無,無,1,,公営,プロパン,汲み取り式,室内,専用,,専用,,ガス,有り,空き有,有り,1500,750,2000,2500,2500,,,3200,,,有,無,新潟県,新発田市
